[Wed Jun 24 11:28:18.593064 2015] [cgi:error] [pid 6164] [client 121.42.0.19:48460] script not found or unable to stat: /var/www/cgi-bin/authlogin.cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:19.592350 2015] [cgi:error] [pid 6164] [client 121.42.0.19:48460] script not found or unable to stat: /var/www/cgi-bin/it.cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:20.579911 2015] [cgi:error] [pid 6164] [client 121.42.0.19:48460] script not found or unable to stat: /var/www/cgi-bin/test-cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:33.643845 2015] [:error] [pid 703] [client 121.42.0.19:52221] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:35.676569 2015] [:error] [pid 703] [client 121.42.0.19:52221] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:47.660406 2015] [:error] [pid 703] [client 121.42.0.19:52221] script '/root/blog/web/bigdump.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:54.641409 2015] [:error] [pid 6228] [client 121.42.0.19:56475] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:57.679839 2015] [:error] [pid 6228] [client 121.42.0.19:56475] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:28:58.636126 2015] [:error] [pid 6228] [client 121.42.0.19:56475] script '/root/blog/web/flash_upload.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:08.722525 2015] [:error] [pid 5340] [client 121.42.0.19:58079] script '/root/blog/web/batch.common.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:11.613075 2015] [:error] [pid 5340] [client 121.42.0.19:58079] script '/root/blog/web/api.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:54.710843 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/phpinfo.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:56.644083 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/php.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:57.584899 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/info.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:58.707223 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/test.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:29:59.690982 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/a.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:02.685669 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/1.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:03.690734 2015] [:error] [pid 1724] [client 121.42.0.19:64185] script '/root/blog/web/u.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:04.677971 2015] [:error] [pid 705] [client 121.42.0.19:3613] script '/root/blog/web/tz.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:19.673454 2015] [:error] [pid 4662] [client 121.42.0.19:5976] script '/root/blog/web/apc.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:21.667144 2015] [:error] [pid 4662] [client 121.42.0.19:5976] script '/root/blog/web/adminer.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:23.694237 2015] [:error] [pid 4662] [client 121.42.0.19:5976] script '/root/blog/web/moadmin.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:54.694220 2015] [cgi:error] [pid 1724] [client 121.42.0.19:11582] script not found or unable to stat: /var/www/cgi-bin/php, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:55.575004 2015] [cgi:error] [pid 1724] [client 121.42.0.19:11582] script not found or unable to stat: /var/www/cgi-bin/php5, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:56.643735 2015] [cgi:error] [pid 1724] [client 121.42.0.19:11582] script not found or unable to stat: /var/www/cgi-bin/php-cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:57.663539 2015] [cgi:error] [pid 1724] [client 121.42.0.19:11582] script not found or unable to stat: /var/www/cgi-bin/php.cgi, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:30:58.665495 2015] [cgi:error] [pid 1724] [client 121.42.0.19:11582] script not found or unable to stat: /var/www/cgi-bin/php4, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:31:12.599694 2015] [:error] [pid 6164] [client 121.42.0.19:13762] script '/root/blog/web/xmlrpc.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:31:18.664120 2015] [:error] [pid 6228] [client 121.42.0.19:14928] script '/root/blog/web/feed-proxy.php' not found or unable to stat, referer: http://www.liguoxian.com:80/
[Wed Jun 24 11:31:58.719141 2015] [:error] [pid 703] [client 121.42.0.19:17618] script '/root/blog/web/phome.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
[Wed Jun 24 11:32:01.610976 2015] [:error] [pid 703] [client 121.42.0.19:17618] script '/root/blog/web/admin.php' not found or unable to stat, referer: http://www.liguoxian.com:80/phpMyAdmin/js/get_image.js.php
